ЖУРНАЛ ОПЕРАЦИЙ (Cashflow) — проект Соня,,,,,,,,,,
"Каждый заход и расход денег фиксируется здесь. Дашборд, P&L и Счета считаются автоматически отсюда.",,,,,,,,,,
,,,,,,,,,,
№,Дата,Тип,Категория,Описание / источник,Счёт,Валюта,"Сумма
(в валюте)",Курс → USD,Сумма ($),-
,2026-06-05,Приход,Продажи продукта,Бронь місяця на флагмані,WayForPay,UAH,"1 000,00","0,0227","$22,70",
2,2026-06-05,Приход,Продажи продукта,Оплата міні курсу,PayPal,UAH,"400,95","0,0227","$9,10",#REF!
3,2026-06-05,Приход,Продажи продукта,Оплата міні курсу,PayPal,UAH,"400,95","0,0227","$9,10",#REF!
,2026-06-05,Расход,Трафик / Реклама,Поповнення рекламного кабінету,ФОП-1,USD,"39,51","1,0000","$39,51",
5,2026-06-06,Приход,Продажи продукта,Оплата міні курсу,PayPal,UAH,"400,95","0,0227","$9,10",#REF!
6,2026-06-06,Приход,Продажи продукта,Оплата міні курсу,PayPal,UAH,"400,95","0,0227","$9,10",#REF!
,2026-06-06,Расход,Трафик / Реклама,Поповнення рекламного кабінету,ФОП-1,USD,"23,61","1,0000","$23,61",
,2026-06-06,Расход,Трафик / Реклама,Поповнення рекламного кабінету за інтенсив,ФОП-1,USD,"19,67","1,0000","$19,67",
,2026-06-07,Расход,Трафик / Реклама,Поповнення рекламного кабінету,ФОП-1,USD,"7,41","1,0000","$7,41",
,2026-06-07,Расход,Трафик / Реклама,Поповнення рекламного кабінету за інтенсив,ФОП-1,USD,"12,56","1,0000","$12,56",
11,2026-06-08,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
12,2026-06-08,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
13,2026-06-08,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
14,2026-06-08,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
,2026-06-08,Расход,Трафик / Реклама,Поповнення рекламного кабінету,ФОП-1,USD,"21,59","1,0000","$21,59",
,2026-06-08,Расход,Трафик / Реклама,Поповнення рекламного кабінету за інтенсив,ФОП-1,USD,"9,90","1,0000","$9,90",
17,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
18,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
19,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
20,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"400,95","0,0227","$9,10",#REF!
21,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"403,20","0,0227","$9,15",#REF!
22,2026-06-09,Приход,Продажи продукта,Оплата міні курсу,WayForPay,UAH,"403,20","0,0227","$9,15",#REF!
