СПРАВОЧНИКИ И ПАРАМЕТРЫ,,,
,,,
ПАРАМЕТРЫ ПРОЕКТА,,,
Проект,Соня,название проекта,
Отчётная валюта,USD,всё сводится в эту валюту,
Модель контракта,50/50 чистая прибыль,70/30 выручка / 50/50 прибыль / Фикс+%,
База распределения,Операционная прибыль,Выручка ИЛИ Операционная прибыль,
Доля ПЦ (B&W),"50,0%",% продюсерского центра,
Доля эксперта (Sony),"50,0%",% эксперта,
,,,
СЧЕТА ПРОЕКТА,,,
Счёт,Валюта счёта,Стартовый баланс ($),Комментарий
WayForPay,UAH,-,"эквайринг, гривна"
PayPal,USD,-,междунар. платежи
Крипто (USDT),USDT,-,USDT кошелёк
ФОП-1,UAH,-,счёт ФОП
ФОП-2,UAH,-,резервный ФОП
,,,
ТИПЫ ОПЕРАЦИЙ,,,
Приход,,,
Расход,,,
,,,
КАТЕГОРИИ ПРИХОДА,,,
Продажи продукта,,,
Допродажи / апселл,,,
Рассрочка / доплата,,,
Прочий приход,,,
,,,
КАТЕГОРИИ РАСХОДА,,,
Категория,Группа,,
Трафик / Реклама,опер,,
Комиссия платёжных систем,опер,,
Сервисы (SendPulse и т.п.),опер,,
Команда / Подряд,опер,,
Прочие затраты,опер,,
Возврат клиенту,возврат,,
Выплата эксперту (Sony),распред,,
Выплата ПЦ (B&W),распред,,
